,precio_total,cantidad,promedio
AMD Radeon R3 Graphics (Mullins/Beema) (Integrada),2570920,8,321365.0
Intel UHD Graphics 600 (Integrada),2914730,9,323858.8888888889
Intel UHD Graphics 605 (Integrada),1877050,5,375410.0
AMD Radeon R4 Graphics (Stoney Ridge) (Integrada),1019970,3,339990.0
AMD Radeon R2 Graphics (Mullins/Beema) (Integrada),319990,1,319990.0
Intel UHD Graphics 610 (Integrada),1949950,5,389990.0
Intel UHD Graphics 620 (Integrada),12497112,27,462856.0
Intel HD Graphics 520 (Integrada),349990,1,349990.0
AMD Radeon RX Vega 3 (Integrada),6627250,15,441816.6666666667
Intel HD Graphics G1 (Integrada),7426450,17,436850.0
AMD Radeon RX Vega 2 (Integrada),379990,1,379990.0
Intel HD Graphics 610 (Integrada),1179970,3,393323.3333333333
Intel HD Graphics 620 (Integrada),2692940,6,448823.3333333333
AMD Radeon R5 Graphics (Stoney Ridge) (Integrada),819980,2,409990.0
"Intel HD Graphics 620 (Integrada)
Intel UHD Graphics 620 (Integrada)",409990,1,409990.0
AMD Radeon RX Vega 6 (Integrada),1399970,3,466656.6666666667
AMD Radeon RX Vega 8 (Integrada),5309890,11,482717.2727272727
Intel UHD Graphics G1 (Integrada),1929870,4,482467.5
Intel UHD Graphics 630 (Integrada),934980,2,467490.0
"NVIDIA GeForce MX110 (2 GB)
Intel UHD Graphics 620 (Integrada)",475290,1,475290.0
Intel HD Graphics 615 (Integrada),488990,1,488990.0
AMD Radeon RX Vega 10 (Integrada),1039980,2,519990.0
Intel Iris Plus Graphics G4 (Integrada),1079980,2,539990.0
"AMD Radeon 530 (2 GB)
Intel UHD Graphics 620 (Integrada)",529990,1,529990.0
