COD ALUMNO,AÑO,SEMESTRE,SIGLA,NOTA FINAL,PPA,CRÈDITOS_PREVIOS,MAX_PROMEDIO,MIN_PROMEDIO,MAX_SIGLA,MIN_SIGLA,MAJOR CÓDIGO SELECCIONADO,MAJOR SELECCIONADO,CRÉDITOS SEMESTRE
330775,2015,2,"['LET0003', 'ICS1513', 'FIS1513', 'DPT6500', 'IIC1103', 'MAT1620']","[5.8, 6.2, 6.3, 6.5, 6.8, 6.6]",6.24,50.0,6.7,5.6,QIM100A,ING1004,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,55.0
330775,2016,1,"['ICM1001', 'MAT1630', 'TTF027', 'FIS1523', 'MAT1640']","[6.2, 6.3, 6.9, 6.5, 6.4]",6.3,105.0,6.8,5.6,IIC1103,ING1004,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330775,2016,2,"['BIO143M', 'ICH1104', 'EYP1113', 'FIS1533', 'IIC2233']","[6.5, 5.6, 6.0, 6.7, 6.2]",6.351612903225807,155.0,6.9,5.6,TTF027,ING1004,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330775,2017,1,"['IHI2315', 'IIC2343', 'ING2030', 'IIC1253', 'IIC2413', 'IHI0202']","[5.3, 6.2, 5.1, 5.3, 6.6, 6.3]",6.314634146341463,205.0,6.9,5.6,TTF027,ING1004,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,60.0
330775,2017,2,"['FIS1542', 'DPT6300', 'IIC2333', 'EYP2114', 'IIC2133', 'IIC2513']","[7.0, 5.8, 6.5, 5.4, 6.8, 6.7]",6.19811320754717,265.0,6.9,5.1,TTF027,ING2030,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,55.0
330775,2018,1,"['COM029', 'IIC2613', 'IIC2143', 'EYP230I']","[6.0, 5.6, 6.6, 6.2]",6.2359375,320.0,7.0,5.1,FIS1542,ING2030,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,40.0
330775,2018,2,"['IIC2433', 'IIC3633', 'IIC2154', 'IIC3380', 'IIC2026']","[6.3, 6.7, 6.6, 6.5, 6.8]",6.220833333333332,360.0,7.0,5.1,FIS1542,ING2030,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330776,2015,2,"['IIC1103', 'MAT1620', 'QIM100A', 'FIS1513']","[5.1, 4.8, 4.9, 2.7]",4.4,50.0,5.1,2.6,ING1004,QIM100A,N/D,N/D,40.0
330776,2016,2,"['IIC1005', 'MAT1640', 'MAT1630', 'FIS1513']","[1.0, 3.2, 2.4, 4.5]",4.388888888888889,90.0,5.1,2.6,ING1004,QIM100A,N/D,N/D,40.0
330777,2015,2,"['MAT1620', 'IIC1103', 'FIS1513', 'TTF021', 'ICS1513']","[5.8, 6.1, 2.9, 4.6, 6.5]",5.45,60.0,5.8,5.0,MAT1610,MAT1203,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330777,2016,1,"['MAT1640', 'IIC1005', 'FIS1513', 'MAT1630', 'FIS1523']","[5.9, 6.7, 4.7, 4.9, 5.3]",5.327272727272726,110.0,6.5,2.9,ICS1513,FIS1513,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330777,2016,2,"['BIO141C', 'FIL188', 'FIS1533', 'IIC2713', 'IIC2233']","[5.0, 5.9, 5.7, 5.6, 4.1]",5.38125,160.0,6.7,2.9,IIC1005,FIS1513,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330777,2017,1,"['IIC1253', 'IIC2413', 'TTF100', 'IIC2343', 'ING2030']","[3.6, 6.1, 5.5, 2.2, 5.0]",5.352380952380952,210.0,6.7,2.9,IIC1005,FIS1513,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330777,2017,2,"['IIC2143', 'EYP1113', 'IIC1253', 'IIC2513']","[5.2, 3.3, 4.4, 5.6]",5.184615384615385,260.0,6.7,2.2,IIC1005,IIC2343,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,40.0
330777,2018,1,"['EYP1113', 'IIC2213', 'COM029', 'IIC2133', 'IIC2343']","[3.5, 1.0, 6.1, 4.1, 4.3]",5.11,300.0,6.7,2.2,IIC1005,IIC2343,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,50.0
330777,2018,2,"['IIC2333', 'EST006', 'IIC2283', 'EYP1113']","[4.6, 6.3, 4.1, 4.3]",4.9228571428571435,350.0,6.7,1.0,IIC1005,IIC2213,M133,MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE - TRACK COMPUTACIÓN,40.0
